Region,Sector,BG_count,EX_count,BG_freq,EX_freq,Enrichment,threshold_85pct_pm25
North,N,2601,172,0.05080673516427706,0.02239291758885562,0.440747020561427,409.25
North,NE,7869,1298,0.15370941907254757,0.16898841296706157,1.0994017991044573,409.25
North,E,5481,1001,0.1070633277337188,0.13032157271188646,1.2172381921359283,409.25
North,SE,7228,1393,0.14118842051802946,0.1813565941934644,1.2845004727976617,409.25
North,S,8849,1277,0.17285228737742706,0.1662543939591199,0.9618292908919985,409.25
North,SW,6795,1039,0.13273039809352657,0.13526884520244759,1.0191248284210488,409.25
North,W,7347,920,0.14351291166933625,0.11977607082411144,0.8346013511695903,409.25
North,NW,5024,581,0.09813650037113725,0.07564119255305299,0.7707753129183764,409.25
East,N,5785,1190,0.11365868992887736,0.15573877764690486,1.3702320198669136,369.75
East,NE,7113,1137,0.13975008841211836,0.14880251276010995,1.064775796466908,369.75
East,E,5790,761,0.11375692561593775,0.0995942939405837,0.8755009202809297,369.75
East,SE,5372,773,0.10554442217768871,0.10116476900929197,0.9585041631141098,369.75
East,S,6163,1083,0.12108530787064324,0.14173537495092264,1.1705414659538929,369.75
East,SW,6808,954,0.13375771150143423,0.1248527679623086,0.933424814370759,369.75
East,W,8295,1117,0.1629730048331958,0.14618505431226278,0.8969893729633015,369.75
East,NW,5572,626,0.10947384966010452,0.0819264494176155,0.748365467402636,369.75
South_Central,N,1764,492,0.04138804814528049,0.07692307692307693,1.8585818493899349,338.25
South_Central,NE,1556,268,0.03650782478121114,0.041901188242651655,1.147731680702175,338.25
South_Central,E,3646,612,0.08554468454517726,0.09568480300187618,1.1185359136231063,338.25
South_Central,SE,5307,805,0.12451608362075034,0.1258599124452783,1.010792403476394,338.25
South_Central,S,11887,1425,0.2789000727340982,0.2227954971857411,0.7988362792551753,338.25
South_Central,SW,8680,1190,0.20365547500058656,0.18605378361475922,0.9135712295515361,338.25
South_Central,W,6962,1058,0.16334670702235987,0.16541588492808004,1.0126673927547836,338.25
South_Central,NW,2819,546,0.06614110415053612,0.08536585365853659,1.2906626441188918,338.25
West_SW,N,1980,131,0.03906404135264176,0.01723004077337893,0.4410716284259231,290.01625
West_SW,NE,3450,650,0.06806613265990609,0.08549256872287254,1.256022108586893,290.01625
West_SW,E,7486,1213,0.147693643215089,0.1595422859397606,1.0802244523631377,290.01625
West_SW,SE,6808,1255,0.13431716844888134,0.16506642114954623,1.2289301645264903,290.01625
West_SW,S,9563,1903,0.1886714280077339,0.25029593581480997,1.326623416863769,290.01625
West_SW,SW,7255,1495,0.14313617172394744,0.19663290806260686,1.373747141065685,290.01625
West_SW,W,8627,706,0.17020479027739416,0.09285808233592004,0.5455667942072382,290.01625
West_SW,NW,5517,250,0.10884662431440635,0.032881757201104825,0.3020925738958374,290.01625
