station,file,pm25_pct,windspd_pct,winddir_pct
station_1429_nehru_nagar_delhi_dpcc_1hr,2024.csv,99.39,99.81,97.67
station_1430_rohini_delhi_dpcc_1hr,2021.csv,98.95,98.62,98.62
station_1430_rohini_delhi_dpcc_1hr,2022.csv,99.71,99.26,99.26
station_1430_rohini_delhi_dpcc_1hr,2023.csv,97.98,93.65,93.65
station_1430_rohini_delhi_dpcc_1hr,2024.csv,99.42,99.37,99.39
station_1431_patparganj_delhi_dpcc_1hr,2021.csv,97.56,98.53,98.53
station_1431_patparganj_delhi_dpcc_1hr,2022.csv,98.87,98.86,98.86
station_1431_patparganj_delhi_dpcc_1hr,2023.csv,97.75,97.66,97.66
station_1431_patparganj_delhi_dpcc_1hr,2024.csv,98.77,98.92,98.25
station_1432_sonia_vihar_delhi_dpcc_1hr,2021.csv,97.61,98.01,98.01
station_1432_sonia_vihar_delhi_dpcc_1hr,2022.csv,98.31,98.53,98.53
station_1432_sonia_vihar_delhi_dpcc_1hr,2023.csv,96.8,96.22,96.22
station_1432_sonia_vihar_delhi_dpcc_1hr,2024.csv,98.08,98.46,98.46
station_1434_wazirpur_delhi_dpcc_1hr,2021.csv,94.18,96.15,96.15
station_1434_wazirpur_delhi_dpcc_1hr,2022.csv,98.04,98.41,98.41
station_1434_wazirpur_delhi_dpcc_1hr,2023.csv,97.1,96.71,96.71
station_1434_wazirpur_delhi_dpcc_1hr,2024.csv,98.94,98.75,71.62
station_1435_vivek_vihar_delhi_dpcc_1hr,2021.csv,94.77,97.05,97.05
station_1435_vivek_vihar_delhi_dpcc_1hr,2022.csv,97.65,97.96,97.96
station_1435_vivek_vihar_delhi_dpcc_1hr,2023.csv,95.48,96.03,96.03
station_1435_vivek_vihar_delhi_dpcc_1hr,2024.csv,98.38,98.85,98.84
station_1560_bawana_delhi_dpcc_1hr,2021.csv,98.38,98.61,98.61
station_1560_bawana_delhi_dpcc_1hr,2022.csv,99.57,99.24,99.24
station_1560_bawana_delhi_dpcc_1hr,2023.csv,96.37,97.99,97.99
station_1560_bawana_delhi_dpcc_1hr,2024.csv,99.03,98.76,99.62
station_1561_mundka_delhi_dpcc_1hr,2021.csv,97.91,98.4,98.4
station_1561_mundka_delhi_dpcc_1hr,2022.csv,98.93,99.11,99.12
station_1561_mundka_delhi_dpcc_1hr,2023.csv,96.78,97.19,97.19
station_1561_mundka_delhi_dpcc_1hr,2024.csv,98.2,97.17,97.17
station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2021.csv,98.71,99.19,99.19
station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2022.csv,98.73,99.02,99.02
station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2023.csv,97.91,97.69,97.69
station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2024.csv,99.06,97.38,97.45
station_1563_pusa_delhi_dpcc_1hr,2021.csv,97.5,98.01,98.01
station_1563_pusa_delhi_dpcc_1hr,2022.csv,96.71,96.82,96.82
station_1563_pusa_delhi_dpcc_1hr,2023.csv,95.81,96.14,96.14
station_1563_pusa_delhi_dpcc_1hr,2024.csv,98.12,98.77,97.15
station_301_anand_vihar_delhi_dpcc_1hr,2021.csv,94.59,95.41,95.35
station_301_anand_vihar_delhi_dpcc_1hr,2022.csv,98.81,98.94,97.64
station_301_anand_vihar_delhi_dpcc_1hr,2023.csv,94.25,94.79,94.53
station_301_anand_vihar_delhi_dpcc_1hr,2024.csv,87.47,86.77,88.78
