Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,338.00,504.00,117.65,28.92,146.65,162.02,3.23,3.80,2.95,4.45,37.52,NA,NA,NA,NA,8.02,96.52,1.20,210.10,0.00,0.00,4.60,999.95,NA
2022-01-01 01:00:00,374.00,511.00,116.98,27.90,145.12,162.68,2.90,3.62,3.10,4.55,33.85,NA,NA,NA,NA,7.68,98.30,1.20,210.08,0.00,0.00,4.55,999.88,NA
2022-01-01 02:00:00,392.00,532.00,92.50,31.10,123.60,161.90,3.10,2.60,2.68,4.65,33.05,NA,NA,NA,NA,7.90,99.05,0.98,214.10,0.00,0.00,4.55,999.58,NA
2022-01-01 03:00:00,328.00,488.00,83.65,29.55,113.25,158.50,2.68,2.38,2.72,4.65,31.42,NA,NA,NA,NA,8.25,98.15,0.50,228.60,0.00,0.00,4.50,999.35,NA
2022-01-01 04:00:00,294.00,453.00,58.05,30.45,88.55,160.75,1.95,1.88,2.72,4.22,28.50,NA,NA,NA,NA,8.18,97.78,0.52,232.23,0.00,0.00,4.50,999.10,NA
2022-01-01 05:00:00,263.00,404.00,38.83,30.52,69.45,163.43,1.78,1.55,2.55,3.62,25.52,NA,NA,NA,NA,7.82,98.82,0.50,232.05,0.00,0.00,4.50,999.15,NA
2022-01-01 06:00:00,233.00,360.00,35.38,28.12,63.50,164.18,1.83,1.37,2.50,2.88,21.15,NA,NA,NA,NA,7.62,99.30,0.57,231.90,0.00,0.00,4.58,999.53,NA
2022-01-01 07:00:00,228.00,342.00,41.78,24.13,65.80,164.02,2.98,1.32,2.53,2.52,16.80,NA,NA,NA,NA,7.50,99.28,0.55,238.22,0.00,0.00,17.55,999.85,NA
2022-01-01 08:00:00,218.00,339.00,69.68,34.97,104.62,159.15,4.38,1.75,2.80,2.28,14.08,NA,NA,NA,NA,10.45,89.60,0.58,214.32,0.00,0.00,70.82,NA,NA
2022-01-01 09:00:00,262.00,405.00,58.00,44.47,102.48,161.22,4.62,1.82,3.12,2.40,12.82,NA,NA,NA,NA,12.98,78.03,0.60,212.75,0.00,0.00,173.02,NA,NA
2022-01-01 10:00:00,291.00,469.00,21.55,44.65,66.10,164.38,5.12,1.65,6.38,2.28,11.80,NA,NA,NA,NA,15.88,65.90,0.60,221.78,0.00,0.00,266.85,NA,NA
2022-01-01 11:00:00,287.00,466.00,8.80,39.42,48.22,165.85,5.35,1.38,15.58,2.30,13.42,NA,NA,NA,NA,17.98,54.08,0.50,246.10,0.00,0.00,332.88,NA,NA
2022-01-01 12:00:00,259.00,423.00,5.12,34.00,39.15,166.40,5.07,1.15,28.20,1.70,10.60,NA,NA,NA,NA,19.60,46.95,0.50,242.45,0.00,0.00,354.78,999.80,NA
2022-01-01 13:00:00,221.00,371.00,5.18,31.78,37.05,170.30,5.15,1.00,38.65,1.50,10.60,NA,NA,NA,NA,20.10,43.75,0.48,252.92,0.00,0.00,319.58,999.12,NA
2022-01-01 14:00:00,212.00,359.00,3.30,26.45,29.70,172.65,8.35,0.75,46.50,1.33,9.72,NA,NA,NA,NA,20.65,37.18,0.48,258.85,0.00,0.00,273.67,998.28,NA
2022-01-01 15:00:00,161.00,262.00,3.22,25.68,28.85,171.58,8.80,0.73,48.50,1.08,11.58,NA,NA,NA,NA,20.12,38.00,0.43,227.25,0.00,0.00,165.75,997.75,NA
2022-01-01 16:00:00,168.00,290.00,3.32,23.95,27.28,162.90,6.90,0.75,40.42,1.05,12.42,NA,NA,NA,NA,18.50,43.38,0.57,252.08,0.00,0.00,69.90,997.60,NA
2022-01-01 17:00:00,139.00,254.00,7.00,33.92,40.92,156.75,5.20,1.23,18.38,1.32,16.70,NA,NA,NA,NA,14.15,63.12,0.60,252.15,0.00,0.00,11.75,997.70,NA
2022-01-01 18:00:00,169.00,287.00,35.02,45.72,80.88,156.20,4.20,2.30,2.90,2.20,27.13,NA,NA,NA,NA,11.62,80.95,0.42,251.75,0.00,0.00,4.65,998.18,NA
2022-01-01 19:00:00,202.00,395.00,124.80,45.35,170.20,158.82,3.50,5.07,3.12,3.70,37.60,NA,NA,NA,NA,10.68,89.65,0.30,251.70,0.00,0.00,4.65,998.60,NA
2022-01-01 20:00:00,357.00,599.00,187.85,43.28,230.65,164.12,3.60,5.95,3.02,NA,NA,NA,NA,NA,NA,9.93,95.22,0.42,251.70,0.00,0.00,4.62,999.18,NA
2022-01-01 21:00:00,399.75,624.00,226.78,44.12,271.00,169.40,4.05,6.72,3.08,NA,NA,NA,NA,NA,NA,9.65,97.95,0.60,251.60,0.00,0.00,4.60,999.48,NA
2022-01-01 22:00:00,447.00,698.00,267.42,38.75,306.12,172.10,4.30,7.02,2.92,NA,NA,NA,NA,NA,NA,9.30,99.22,0.30,251.60,0.00,0.00,4.60,999.50,NA
2022-01-01 23:00:00,461.00,724.00,253.88,32.10,286.12,171.98,4.32,6.62,2.58,NA,NA,NA,NA,NA,NA,8.95,99.30,0.30,251.55,0.00,0.00,4.53,999.20,NA
