Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,475.25,643.00,236.55,57.70,223.65,41.58,17.35,5.50,2.30,NA,NA,NA,NA,NA,NA,7.18,99.20,0.30,289.60,0.00,0.00,4.38,994.88,NA
2021-01-01 01:00:00,518.25,668.75,251.35,60.10,236.92,43.22,15.70,5.75,2.75,NA,NA,NA,NA,NA,NA,6.38,99.20,0.30,289.60,0.00,0.00,4.40,995.00,NA
2021-01-01 02:00:00,596.50,751.00,306.20,55.70,279.45,37.00,17.80,6.60,3.02,NA,NA,NA,NA,NA,NA,6.05,99.20,0.30,289.60,0.00,0.00,4.35,994.98,NA
2021-01-01 03:00:00,614.75,771.50,354.83,52.95,317.58,31.58,19.50,6.75,2.98,NA,NA,NA,NA,NA,NA,5.85,99.20,0.30,289.55,0.00,0.00,4.30,994.85,NA
2021-01-01 04:00:00,627.50,805.25,413.40,50.90,364.20,31.30,24.18,6.20,4.92,NA,NA,NA,NA,NA,NA,5.82,99.20,0.30,289.60,0.00,0.00,4.35,994.95,NA
2021-01-01 05:00:00,649.00,849.25,427.08,51.78,375.70,32.30,21.95,5.30,3.10,NA,NA,NA,NA,NA,NA,5.40,99.20,0.30,289.55,0.00,0.00,4.30,995.15,NA
2021-01-01 06:00:00,628.00,817.50,400.68,49.08,352.90,34.45,20.05,3.62,3.55,NA,NA,NA,NA,NA,NA,5.35,99.25,0.30,98.92,0.00,0.00,4.53,995.85,NA
2021-01-01 07:00:00,534.00,763.25,346.33,56.32,312.42,36.15,19.80,2.60,3.65,NA,NA,NA,NA,NA,NA,6.05,99.30,0.30,39.70,0.00,0.00,12.20,996.95,NA
2021-01-01 08:00:00,403.50,647.25,284.62,56.32,262.10,34.75,17.02,1.83,3.80,NA,NA,NA,NA,NA,NA,6.78,99.30,0.32,50.75,0.00,0.00,36.30,997.85,NA
2021-01-01 09:00:00,387.25,573.25,230.35,60.50,220.02,36.02,32.60,1.45,13.70,NA,NA,NA,NA,NA,NA,7.48,99.30,0.80,53.82,0.00,0.00,87.02,998.38,NA
2021-01-01 10:00:00,468.75,702.50,195.02,69.00,195.62,36.55,55.85,1.45,9.52,NA,NA,NA,NA,NA,NA,8.90,99.30,0.57,48.32,0.00,0.00,257.42,998.20,NA
2021-01-01 11:00:00,601.25,930.25,155.40,84.52,171.58,39.32,106.08,1.20,23.62,15.60,238.60,NA,NA,NA,NA,13.22,83.05,0.92,57.30,0.00,0.00,363.65,997.48,NA
2021-01-01 12:00:00,646.00,821.00,114.88,99.98,146.80,39.52,35.72,1.95,11.30,15.30,255.12,NA,NA,NA,NA,14.52,72.08,1.08,30.55,0.00,0.00,366.58,996.32,NA
2021-01-01 13:00:00,534.75,675.00,83.72,102.32,122.88,39.17,32.67,2.70,17.85,14.72,215.45,NA,NA,NA,NA,15.75,64.80,1.05,40.08,0.00,0.00,318.55,995.72,NA
2021-01-01 14:00:00,462.50,595.75,58.98,107.50,105.22,39.90,53.97,2.10,40.25,13.52,208.82,NA,NA,NA,NA,17.10,46.58,0.85,59.85,0.00,0.00,277.88,994.85,NA
2021-01-01 15:00:00,366.00,516.25,42.25,100.18,87.75,41.00,72.05,1.85,53.12,10.52,171.73,NA,NA,NA,NA,17.05,38.78,1.08,68.38,0.00,0.00,164.70,994.40,NA
2021-01-01 16:00:00,237.50,374.25,33.67,89.88,75.25,41.20,84.68,2.00,34.80,9.10,152.75,NA,NA,NA,NA,15.38,43.72,0.98,101.28,0.00,0.00,52.60,994.18,NA
2021-01-01 17:00:00,268.25,419.50,33.00,87.07,73.25,41.50,49.90,2.35,10.75,8.67,128.95,NA,NA,NA,NA,13.08,60.18,1.58,70.02,0.00,0.00,7.50,993.88,NA
2021-01-01 18:00:00,339.50,520.25,40.52,76.10,73.53,40.55,29.70,3.02,14.25,9.22,159.82,NA,NA,NA,NA,10.48,77.45,1.60,56.58,0.00,0.00,4.40,994.12,NA
2021-01-01 19:00:00,379.50,543.75,65.22,70.03,90.42,41.58,25.80,4.65,11.38,10.00,155.00,NA,NA,NA,NA,9.65,83.90,1.60,55.98,0.00,0.00,4.40,994.55,NA
2021-01-01 20:00:00,460.75,658.75,121.05,69.62,135.68,43.90,35.55,5.50,4.45,12.18,171.20,NA,NA,NA,NA,10.45,83.85,1.60,49.05,0.00,0.00,4.32,994.80,NA
2021-01-01 21:00:00,634.25,877.75,169.65,69.55,175.20,40.62,29.88,6.02,2.98,14.92,223.68,NA,NA,NA,NA,9.65,90.65,1.60,51.08,0.00,0.00,4.35,995.30,NA
2021-01-01 22:00:00,658.50,882.75,214.25,66.08,209.82,46.48,100.62,5.40,3.12,16.00,250.80,NA,NA,NA,NA,11.05,88.82,1.10,50.60,0.00,0.00,4.30,995.00,NA
2021-01-01 23:00:00,641.00,854.25,209.52,66.30,206.02,42.03,37.90,4.15,1.95,15.30,233.65,NA,NA,NA,NA,10.82,90.80,1.50,89.88,0.00,0.00,4.32,994.68,NA
2021-01-02 00:00:00,526.50,639.00,181.78,65.38,182.92,41.22,111.02,3.10,4.70,14.12,190.75,NA,NA,NA,NA,10.17,91.00,1.60,62.68,0.00,0.00,4.30,994.32,NA
2021-01-02 01:00:00,469.75,546.25,145.90,61.38,151.73,42.18,44.72,2.60,12.25,12.92,200.10,NA,NA,NA,NA,9.30,91.42,1.60,85.90,0.00,0.00,4.28,994.20,NA
2021-01-02 02:00:00,406.50,474.25,103.25,61.00,116.75,38.35,28.25,2.60,14.15,11.50,208.75,NA,NA,NA,NA,9.05,94.08,1.60,85.85,0.00,0.00,4.18,994.38,NA
2021-01-02 03:00:00,385.50,439.25,87.25,62.22,104.25,31.65,24.48,2.15,6.92,10.68,177.85,NA,NA,NA,NA,10.02,88.12,1.23,101.52,0.00,0.00,4.20,994.50,NA
2021-01-02 04:00:00,374.50,432.50,80.05,57.55,96.00,30.72,26.38,2.15,5.10,10.10,157.23,NA,NA,NA,NA,10.40,86.00,1.50,56.97,0.00,0.00,4.20,994.22,NA
2021-01-02 05:00:00,388.00,469.50,78.78,62.10,97.35,32.28,33.10,2.28,2.20,10.07,153.48,NA,NA,NA,NA,11.00,82.62,1.25,161.90,0.00,0.00,4.20,994.45,NA
2021-01-02 06:00:00,409.00,486.00,68.25,63.68,89.52,34.50,27.42,2.40,1.92,10.00,148.93,NA,NA,NA,NA,11.18,81.78,1.08,78.20,0.00,0.00,4.45,994.92,NA
2021-01-02 07:00:00,428.00,501.75,64.60,66.90,88.10,36.78,36.75,2.88,3.28,10.68,118.92,NA,NA,NA,NA,11.15,81.98,1.25,73.10,0.00,0.00,26.25,995.10,NA
2021-01-02 08:00:00,453.00,550.00,63.22,66.65,87.00,36.95,39.85,2.92,3.87,10.28,125.00,NA,NA,NA,NA,12.02,78.88,0.72,129.88,0.00,0.00,34.65,996.50,NA
2021-01-02 09:00:00,431.50,535.25,62.48,70.82,88.58,36.92,55.82,2.65,7.85,10.32,125.93,NA,NA,NA,NA,12.95,74.22,1.40,52.08,0.00,0.00,66.60,997.12,NA
2021-01-02 10:00:00,442.00,523.75,63.58,76.15,92.32,40.10,50.48,3.30,3.78,11.28,120.90,NA,NA,NA,NA,13.52,74.38,0.80,61.18,0.00,0.00,92.32,996.95,NA
2021-01-02 11:00:00,513.00,627.75,62.25,77.72,92.10,40.55,61.30,2.95,15.15,11.20,172.42,NA,NA,NA,NA,15.02,63.80,0.50,154.17,0.00,0.00,146.30,996.82,NA
2021-01-02 12:00:00,450.25,558.75,51.72,87.80,88.85,40.50,57.22,2.43,29.48,10.80,175.40,NA,NA,NA,NA,16.88,53.00,0.80,77.70,0.00,0.00,189.98,995.52,NA
2021-01-02 13:00:00,396.75,504.00,40.75,88.32,80.22,38.38,40.42,2.08,51.15,9.75,141.80,NA,NA,NA,NA,19.05,36.17,0.88,101.00,0.00,0.00,272.98,994.10,NA
2021-01-02 14:00:00,275.25,375.00,29.22,89.65,71.58,38.52,49.72,2.10,41.28,8.27,112.50,NA,NA,NA,NA,18.97,37.92,0.95,79.65,0.00,0.00,139.23,993.08,NA
2021-01-02 15:00:00,240.50,348.25,27.42,90.80,70.65,39.90,118.02,2.17,25.68,7.90,115.12,NA,NA,NA,NA,18.97,42.02,0.88,77.65,0.00,0.00,111.93,992.62,NA
2021-01-02 16:00:00,260.00,391.25,28.38,83.85,67.72,40.72,63.58,2.42,24.98,7.68,138.35,NA,NA,NA,NA,18.23,45.88,0.85,72.18,0.00,0.00,44.50,992.40,NA
2021-01-02 17:00:00,287.25,440.00,27.92,82.43,66.68,39.65,70.97,2.70,17.05,8.15,186.62,NA,NA,NA,NA,16.92,48.50,1.40,84.70,0.00,0.00,6.98,992.32,NA
2021-01-02 18:00:00,292.50,451.25,36.48,80.45,72.58,40.83,36.38,2.60,4.15,8.22,158.05,NA,NA,NA,NA,16.00,54.88,0.60,99.55,0.00,0.00,4.43,992.42,NA
2021-01-02 19:00:00,315.25,465.75,48.03,74.28,78.70,42.15,42.15,2.90,7.75,8.62,142.48,NA,NA,NA,NA,14.98,60.18,1.23,120.55,0.00,0.00,4.43,992.50,NA
2021-01-02 20:00:00,338.75,482.25,57.65,72.80,85.57,42.08,28.00,2.80,2.58,9.07,127.90,NA,NA,NA,NA,14.00,60.65,1.45,132.85,0.00,0.00,4.43,992.72,NA
2021-01-02 21:00:00,315.50,448.75,66.53,69.28,91.05,40.28,24.67,2.80,2.72,8.45,117.70,NA,NA,NA,NA,13.52,57.98,1.60,134.88,0.00,0.00,4.38,993.02,NA
2021-01-02 22:00:00,285.75,412.50,79.73,69.20,101.70,40.62,23.58,3.12,2.25,8.60,129.45,NA,NA,NA,NA,13.32,60.20,1.45,128.52,0.00,0.00,4.38,993.10,NA
2021-01-02 23:00:00,294.25,420.00,98.12,66.32,115.32,43.60,23.22,2.90,2.10,8.88,165.10,NA,NA,NA,NA,13.20,58.90,0.22,253.50,0.00,0.00,4.40,992.82,NA
2021-01-03 00:00:00,298.50,400.00,102.00,65.10,117.72,41.98,21.82,2.50,1.62,8.20,189.08,NA,NA,NA,NA,12.98,61.50,0.25,189.18,0.00,0.00,4.38,992.62,NA
2021-01-03 01:00:00,276.25,359.50,99.65,64.68,115.58,45.65,31.62,2.68,7.20,7.93,219.10,NA,NA,NA,NA,12.60,62.72,0.28,150.25,0.00,0.00,4.40,992.08,NA
2021-01-03 02:00:00,256.75,335.50,96.55,54.00,107.45,42.50,79.10,2.65,7.55,7.05,208.45,NA,NA,NA,NA,12.62,63.70,0.30,65.93,0.00,0.00,4.45,992.10,NA
2021-01-03 03:00:00,265.25,353.25,99.90,59.15,113.00,36.18,50.72,2.22,1.82,7.55,190.10,NA,NA,NA,NA,13.70,60.70,0.80,40.60,0.00,0.00,4.40,991.85,NA
2021-01-03 04:00:00,304.25,402.75,88.90,62.58,105.75,35.33,28.52,1.88,1.90,7.35,153.22,NA,NA,NA,NA,13.35,66.25,0.65,124.05,0.00,0.00,4.43,991.47,NA
2021-01-03 05:00:00,273.25,340.75,74.22,59.78,92.35,39.88,36.28,1.65,2.22,6.62,108.98,NA,NA,NA,NA,12.45,77.30,0.82,77.05,0.00,0.00,4.32,991.65,NA
2021-01-03 06:00:00,241.75,298.25,61.48,58.60,81.32,40.07,25.10,1.88,4.05,6.42,90.85,NA,NA,NA,NA,11.92,92.00,0.80,97.38,0.00,0.00,4.35,992.58,NA
