season,mean_pm25,median_pm25,std_pm25,station,year
Post-monsoon,154.70995020604394,126.5,119.67986371216602,station_122_mandir_marg_delhi_dpcc_1hr,2021
Pre-monsoon,75.06838187065459,64.125,56.79540126047281,station_122_mandir_marg_delhi_dpcc_1hr,2021
Winter,172.40320993513686,156.75,96.90739825407455,station_122_mandir_marg_delhi_dpcc_1hr,2021
Monsoon,108.72550791915313,87.0,80.19691899977987,station_122_mandir_marg_delhi_dpcc_1hr,2022
Post-monsoon,207.20751537935746,197.0,113.91777562806541,station_122_mandir_marg_delhi_dpcc_1hr,2022
Pre-monsoon,223.3997952511267,207.25,96.46379566388048,station_122_mandir_marg_delhi_dpcc_1hr,2022
Winter,214.0854816849817,202.625,95.39513375364089,station_122_mandir_marg_delhi_dpcc_1hr,2022
Monsoon,33.219615415143636,29.75,22.445177213434036,station_122_mandir_marg_delhi_dpcc_1hr,2023
Post-monsoon,160.74653236231362,141.25,109.49110314481176,station_122_mandir_marg_delhi_dpcc_1hr,2023
Pre-monsoon,60.97015871684077,49.25,40.548818687369454,station_122_mandir_marg_delhi_dpcc_1hr,2023
Winter,157.32645670318206,143.125,83.24091017917475,station_122_mandir_marg_delhi_dpcc_1hr,2023
Monsoon,80.13514603187889,66.0,56.97128564409452,station_122_mandir_marg_delhi_dpcc_1hr,2024
Post-monsoon,238.38200980708433,213.0,141.09811422667218,station_122_mandir_marg_delhi_dpcc_1hr,2024
Pre-monsoon,128.04242238546664,119.75,51.865471882442115,station_122_mandir_marg_delhi_dpcc_1hr,2024
Winter,234.50996807766356,219.25,119.37450029578673,station_122_mandir_marg_delhi_dpcc_1hr,2024
Monsoon,105.06846990173939,89.0,72.27000491401203,station_124_r_k_puram_delhi_dpcc_1hr,2021
Post-monsoon,231.60300010435145,219.0,130.97971779540953,station_124_r_k_puram_delhi_dpcc_1hr,2021
Pre-monsoon,211.49785813907152,186.0,120.25924751333578,station_124_r_k_puram_delhi_dpcc_1hr,2021
Winter,289.78809569074775,258.5,142.4200090661609,station_124_r_k_puram_delhi_dpcc_1hr,2021
Monsoon,111.01398995089643,92.75,75.09962048601858,station_124_r_k_puram_delhi_dpcc_1hr,2022
Post-monsoon,238.5738305898491,231.0,118.80974737234844,station_124_r_k_puram_delhi_dpcc_1hr,2022
Pre-monsoon,250.42253493413213,237.5,100.87942157358809,station_124_r_k_puram_delhi_dpcc_1hr,2022
Winter,243.38149648711945,226.0,110.26453349216003,station_124_r_k_puram_delhi_dpcc_1hr,2022
Monsoon,55.4969626516136,52.5,31.635308804929956,station_124_r_k_puram_delhi_dpcc_1hr,2023
Post-monsoon,195.20082882063576,166.75,127.78870369839954,station_124_r_k_puram_delhi_dpcc_1hr,2023
Pre-monsoon,86.56272851919562,72.58333333333334,59.15849444865828,station_124_r_k_puram_delhi_dpcc_1hr,2023
Winter,189.03724569640062,168.25,115.64752554778931,station_124_r_k_puram_delhi_dpcc_1hr,2023
Monsoon,50.142044961068656,45.0,28.11090728651443,station_124_r_k_puram_delhi_dpcc_1hr,2024
Post-monsoon,190.76048976673854,171.0,123.79822454061234,station_124_r_k_puram_delhi_dpcc_1hr,2024
Pre-monsoon,82.93452478399271,71.25,47.27487413480761,station_124_r_k_puram_delhi_dpcc_1hr,2024
Winter,191.88491026231017,171.75,121.23201209831402,station_124_r_k_puram_delhi_dpcc_1hr,2024
Monsoon,105.44987495688169,92.25,63.68548961102046,station_125_punjabi_bagh_delhi_dpcc_1hr,2021
Post-monsoon,277.87843728100916,249.0,157.2360381602666,station_125_punjabi_bagh_delhi_dpcc_1hr,2021
