season,mean_pm25,median_pm25,std_pm25,station,year
Monsoon,104.20936162489095,95.5,62.61390260816887,station_1429_nehru_nagar_delhi_dpcc_1hr,2023
Post-monsoon,325.0077670219354,286.0,172.14221764804185,station_1429_nehru_nagar_delhi_dpcc_1hr,2023
Pre-monsoon,174.80592701801018,152.5,104.46640146485014,station_1429_nehru_nagar_delhi_dpcc_1hr,2023
Winter,322.75099928109273,291.75,159.86492766753418,station_1429_nehru_nagar_delhi_dpcc_1hr,2023
Monsoon,103.15213501323659,85.0,72.34506447491695,station_1429_nehru_nagar_delhi_dpcc_1hr,2024
Post-monsoon,321.88952248031103,301.0,157.92322258827963,station_1429_nehru_nagar_delhi_dpcc_1hr,2024
Pre-monsoon,192.23471467391303,176.375,84.92253338907209,station_1429_nehru_nagar_delhi_dpcc_1hr,2024
Winter,316.8084601237843,291.5,162.9051775170169,station_1429_nehru_nagar_delhi_dpcc_1hr,2024
Monsoon,115.36727323388203,94.375,88.50909930244238,station_1430_rohini_delhi_dpcc_1hr,2021
Post-monsoon,312.1472848360656,275.5,182.49257797683634,station_1430_rohini_delhi_dpcc_1hr,2021
Pre-monsoon,226.43306188925084,195.25,139.53168284048655,station_1430_rohini_delhi_dpcc_1hr,2021
Winter,354.49840579710144,315.25,180.57913054367742,station_1430_rohini_delhi_dpcc_1hr,2021
Monsoon,40.26482726423903,33.25,28.02094966916972,station_1430_rohini_delhi_dpcc_1hr,2022
Post-monsoon,161.10167349726777,141.25,114.06725454184881,station_1430_rohini_delhi_dpcc_1hr,2022
Pre-monsoon,107.01989583333334,85.28999999999999,74.04639644653369,station_1430_rohini_delhi_dpcc_1hr,2022
Winter,169.69150278293137,152.83499999999998,99.86834748657792,station_1430_rohini_delhi_dpcc_1hr,2022
Monsoon,39.42699164917097,35.333333333333336,22.324927444662645,station_1430_rohini_delhi_dpcc_1hr,2023
Post-monsoon,196.2455601092896,161.125,137.87650906150964,station_1430_rohini_delhi_dpcc_1hr,2023
Pre-monsoon,81.1746639480441,59.333333333333336,63.03852929110459,station_1430_rohini_delhi_dpcc_1hr,2023
Winter,187.88757716049383,173.875,103.97712539109233,station_1430_rohini_delhi_dpcc_1hr,2023
Monsoon,139.9702868852459,118.0,97.37567529944631,station_1430_rohini_delhi_dpcc_1hr,2024
Post-monsoon,360.81626575028633,349.0,176.8295376217941,station_1430_rohini_delhi_dpcc_1hr,2024
Pre-monsoon,243.70618156934304,216.0,132.32076874406079,station_1430_rohini_delhi_dpcc_1hr,2024
Winter,295.26386005560704,267.5,158.29632882497427,station_1430_rohini_delhi_dpcc_1hr,2024
Monsoon,45.05827843869826,39.25,26.989211432647913,station_1431_patparganj_delhi_dpcc_1hr,2021
Post-monsoon,167.353573907009,137.0,120.86394050796055,station_1431_patparganj_delhi_dpcc_1hr,2021
Pre-monsoon,81.71599143574973,65.75,66.18350336224931,station_1431_patparganj_delhi_dpcc_1hr,2021
Winter,210.1612271148136,189.25,117.2475074248178,station_1431_patparganj_delhi_dpcc_1hr,2021
Monsoon,112.86747552781243,95.0,80.26898799059032,station_1431_patparganj_delhi_dpcc_1hr,2022
Post-monsoon,269.0007384403037,263.0,143.31744528494806,station_1431_patparganj_delhi_dpcc_1hr,2022
Pre-monsoon,248.91460941614298,232.75,98.54559206206837,station_1431_patparganj_delhi_dpcc_1hr,2022
Winter,265.42977936731813,245.75,124.92449173821345,station_1431_patparganj_delhi_dpcc_1hr,2022
Monsoon,99.53185716592002,88.75,63.515220426549654,station_1431_patparganj_delhi_dpcc_1hr,2023
Post-monsoon,327.2047863833676,290.5,165.3321406032933,station_1431_patparganj_delhi_dpcc_1hr,2023
Pre-monsoon,194.6987819979793,169.25,110.37597048746383,station_1431_patparganj_delhi_dpcc_1hr,2023
Winter,322.73199721964784,298.125,159.03627537360012,station_1431_patparganj_delhi_dpcc_1hr,2023
Monsoon,40.61766737783196,36.0,24.554474929728098,station_1431_patparganj_delhi_dpcc_1hr,2024
Post-monsoon,195.2261961722488,174.0,141.99298462988136,station_1431_patparganj_delhi_dpcc_1hr,2024
Pre-monsoon,60.47095805493208,51.5,35.4789726379499,station_1431_patparganj_delhi_dpcc_1hr,2024
Winter,171.87720629807376,151.0,114.75760715723649,station_1431_patparganj_delhi_dpcc_1hr,2024
Monsoon,48.38586196777708,41.5,30.343854453802393,station_1432_sonia_vihar_delhi_dpcc_1hr,2021
Post-monsoon,176.75066918325325,149.25,130.7495492381446,station_1432_sonia_vihar_delhi_dpcc_1hr,2021
Pre-monsoon,85.68040925863804,73.0,60.94569783065938,station_1432_sonia_vihar_delhi_dpcc_1hr,2021
Winter,203.795105883976,183.0,115.88428193190684,station_1432_sonia_vihar_delhi_dpcc_1hr,2021
Monsoon,134.1669553905748,107.0,98.43295442014934,station_1432_sonia_vihar_delhi_dpcc_1hr,2022
Post-monsoon,294.40494605394605,279.0,160.56174252829703,station_1432_sonia_vihar_delhi_dpcc_1hr,2022
Pre-monsoon,289.449004130335,258.75,134.25785900433843,station_1432_sonia_vihar_delhi_dpcc_1hr,2022
Winter,267.25333764908976,243.125,138.82336739926265,station_1432_sonia_vihar_delhi_dpcc_1hr,2022
Monsoon,44.013973421734235,38.5,26.8448167773851,station_1432_sonia_vihar_delhi_dpcc_1hr,2023
Post-monsoon,190.97353142076503,164.625,127.31297201170564,station_1432_sonia_vihar_delhi_dpcc_1hr,2023
Pre-monsoon,73.96715283943742,58.0,50.66332523052578,station_1432_sonia_vihar_delhi_dpcc_1hr,2023
Winter,173.34648919753087,164.5,86.77233116324282,station_1432_sonia_vihar_delhi_dpcc_1hr,2023
Monsoon,126.28113039712596,105.0,80.56377727802642,station_1432_sonia_vihar_delhi_dpcc_1hr,2024
Post-monsoon,310.5932950607053,297.0,150.25210434663308,station_1432_sonia_vihar_delhi_dpcc_1hr,2024
Pre-monsoon,211.41688730745534,192.0,99.18169181759053,station_1432_sonia_vihar_delhi_dpcc_1hr,2024
Winter,279.4831253572528,258.5,137.00114524874476,station_1432_sonia_vihar_delhi_dpcc_1hr,2024
Monsoon,53.20850986363035,46.5,33.592921270524066,station_1434_wazirpur_delhi_dpcc_1hr,2021
Post-monsoon,192.5678590268019,142.25,154.47642046259458,station_1434_wazirpur_delhi_dpcc_1hr,2021
Pre-monsoon,82.27306988632436,63.5,68.91615463597107,station_1434_wazirpur_delhi_dpcc_1hr,2021
Winter,212.45667541776058,192.5,129.01380838001708,station_1434_wazirpur_delhi_dpcc_1hr,2021
Monsoon,49.404709786722876,42.75,29.54163520815413,station_1434_wazirpur_delhi_dpcc_1hr,2022
Post-monsoon,165.8630179558011,139.5,121.65904291635881,station_1434_wazirpur_delhi_dpcc_1hr,2022
Pre-monsoon,107.35788862936644,86.0,68.0590324876702,station_1434_wazirpur_delhi_dpcc_1hr,2022
Winter,173.77173733009272,156.0,100.57910280500178,station_1434_wazirpur_delhi_dpcc_1hr,2022
Monsoon,164.75897548044466,154.0,90.19573431463346,station_1434_wazirpur_delhi_dpcc_1hr,2023
Post-monsoon,399.960439435337,363.875,190.27421279571283,station_1434_wazirpur_delhi_dpcc_1hr,2023
Pre-monsoon,235.59791900636398,204.125,130.35225207287343,station_1434_wazirpur_delhi_dpcc_1hr,2023
Winter,355.997032122905,333.125,152.0396030384498,station_1434_wazirpur_delhi_dpcc_1hr,2023
Monsoon,153.71103024348795,143.0,83.35358587715025,station_1434_wazirpur_delhi_dpcc_1hr,2024
Post-monsoon,415.47294520547945,387.5,189.8477684797635,station_1434_wazirpur_delhi_dpcc_1hr,2024
Pre-monsoon,242.0223297002725,223.75,103.09261027247814,station_1434_wazirpur_delhi_dpcc_1hr,2024
Winter,351.6608268388897,321.0,164.93014093338346,station_1434_wazirpur_delhi_dpcc_1hr,2024
Monsoon,44.45673716853469,38.5,32.065243299466395,station_1435_vivek_vihar_delhi_dpcc_1hr,2021
Post-monsoon,185.5218700923329,128.5,159.08699176527224,station_1435_vivek_vihar_delhi_dpcc_1hr,2021
Pre-monsoon,87.56816238514986,70.5,62.141356378370084,station_1435_vivek_vihar_delhi_dpcc_1hr,2021
Winter,227.42482559206903,206.0,125.84440781198944,station_1435_vivek_vihar_delhi_dpcc_1hr,2021
Monsoon,133.98510649261422,108.5,99.28156116278228,station_1435_vivek_vihar_delhi_dpcc_1hr,2022
Post-monsoon,301.470227651033,285.75,162.33152037391977,station_1435_vivek_vihar_delhi_dpcc_1hr,2022
Pre-monsoon,285.0284969233464,264.75,119.89298455923664,station_1435_vivek_vihar_delhi_dpcc_1hr,2022
Winter,300.10581681151547,280.0,139.3696393014135,station_1435_vivek_vihar_delhi_dpcc_1hr,2022
Monsoon,124.42337305666678,114.5,67.25448408825957,station_1435_vivek_vihar_delhi_dpcc_1hr,2023
Post-monsoon,341.7297928051002,301.875,168.81461392496865,station_1435_vivek_vihar_delhi_dpcc_1hr,2023
Pre-monsoon,205.72427446909737,181.75,111.99480429893421,station_1435_vivek_vihar_delhi_dpcc_1hr,2023
Winter,335.85783549108305,312.25,143.99063918191052,station_1435_vivek_vihar_delhi_dpcc_1hr,2023
Monsoon,116.19981300478746,88.5,90.488308326601,station_1435_vivek_vihar_delhi_dpcc_1hr,2024
Post-monsoon,352.95725049671404,334.0,178.224954371201,station_1435_vivek_vihar_delhi_dpcc_1hr,2024
Pre-monsoon,222.56829181901279,205.0,97.08367660504449,station_1435_vivek_vihar_delhi_dpcc_1hr,2024
Winter,301.81914463512675,275.578125,149.8449706694193,station_1435_vivek_vihar_delhi_dpcc_1hr,2024
Monsoon,46.75113986972918,41.75,26.448437583248108,station_1560_bawana_delhi_dpcc_1hr,2021
Post-monsoon,185.3800550206327,157.375,128.98292523526203,station_1560_bawana_delhi_dpcc_1hr,2021
Pre-monsoon,112.82189809613287,86.0,90.25783316749357,station_1560_bawana_delhi_dpcc_1hr,2021
Winter,215.21882837900606,195.0,114.69057383737558,station_1560_bawana_delhi_dpcc_1hr,2021
Monsoon,133.4185465116279,105.625,103.44774333004133,station_1560_bawana_delhi_dpcc_1hr,2022
Post-monsoon,311.0933152067411,283.125,181.5415848483919,station_1560_bawana_delhi_dpcc_1hr,2022
Pre-monsoon,334.2494421986047,307.0,149.64699200934487,station_1560_bawana_delhi_dpcc_1hr,2022
Winter,289.04967736931906,261.75,145.98728840213542,station_1560_bawana_delhi_dpcc_1hr,2022
Monsoon,124.6957785950235,114.25,71.58894313750918,station_1560_bawana_delhi_dpcc_1hr,2023
Post-monsoon,368.48215988827576,338.75,180.1274235021041,station_1560_bawana_delhi_dpcc_1hr,2023
Pre-monsoon,230.64815671756904,187.0,152.40341654848703,station_1560_bawana_delhi_dpcc_1hr,2023
Winter,315.38576945877577,288.75,149.5265747652972,station_1560_bawana_delhi_dpcc_1hr,2023
Monsoon,125.37942530442531,97.375,89.02853628646864,station_1560_bawana_delhi_dpcc_1hr,2024
Post-monsoon,356.03202378768424,333.5,178.13969001674675,station_1560_bawana_delhi_dpcc_1hr,2024
Pre-monsoon,256.04846014492756,232.0,124.06871431641467,station_1560_bawana_delhi_dpcc_1hr,2024
Winter,288.03148419606043,257.0,149.9309616465417,station_1560_bawana_delhi_dpcc_1hr,2024
Monsoon,40.18699853095868,34.75,25.169641447009464,station_1561_mundka_delhi_dpcc_1hr,2021
Post-monsoon,183.40505464480876,149.875,137.94025580543402,station_1561_mundka_delhi_dpcc_1hr,2021
Pre-monsoon,106.86644478187561,77.75,89.19117811993875,station_1561_mundka_delhi_dpcc_1hr,2021
Winter,238.69782753547585,209.5,137.41090893675195,station_1561_mundka_delhi_dpcc_1hr,2021
Monsoon,45.0669455852156,36.0,35.119777528078565,station_1561_mundka_delhi_dpcc_1hr,2022
Post-monsoon,163.0820484682213,144.625,114.26764241568105,station_1561_mundka_delhi_dpcc_1hr,2022
Pre-monsoon,120.83120047814207,94.375,81.14085471083271,station_1561_mundka_delhi_dpcc_1hr,2022
Winter,172.0600849798916,153.625,100.93659962378166,station_1561_mundka_delhi_dpcc_1hr,2022
Monsoon,43.25527376015797,38.0,27.76492703202852,station_1561_mundka_delhi_dpcc_1hr,2023
Post-monsoon,217.82028795627124,198.5,141.1420667342119,station_1561_mundka_delhi_dpcc_1hr,2023
Pre-monsoon,88.16783665458938,62.25,68.94753458290992,station_1561_mundka_delhi_dpcc_1hr,2023
Winter,194.67360827321355,181.875,105.70962811608732,station_1561_mundka_delhi_dpcc_1hr,2023
Monsoon,42.80562907082644,36.0,32.87525590377328,station_1561_mundka_delhi_dpcc_1hr,2024
Post-monsoon,209.14466484268127,179.0,148.7063256526342,station_1561_mundka_delhi_dpcc_1hr,2024
Pre-monsoon,102.70683996890249,74.25,80.36008718560277,station_1561_mundka_delhi_dpcc_1hr,2024
Winter,196.30380470817238,179.0,116.20672304141624,station_1561_mundka_delhi_dpcc_1hr,2024
Monsoon,31.94159736233453,29.25,17.113902235962584,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2021
Post-monsoon,134.41022418615964,116.25,103.65695419886342,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2021
Pre-monsoon,61.42921649207871,52.0,42.835106681356486,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2021
Winter,158.50528376783606,146.0,81.36143325358795,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2021
Monsoon,34.17151950718686,30.0,19.53163884257081,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2022
Post-monsoon,120.78521634986865,103.0,85.78048881683068,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2022
Pre-monsoon,73.42937569915115,67.0,36.716176264486315,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2022
Winter,130.0118919465803,121.0,69.48654944399081,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2022
Monsoon,32.84201223006004,30.5,17.088875800738563,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2023
Post-monsoon,145.59073315118397,123.0,100.88656501070685,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2023
Pre-monsoon,52.39479686899731,44.0,34.01583470741634,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2023
Winter,153.40787037037038,136.0,86.01900571312648,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2023
Monsoon,102.15163455383095,83.25,70.9165866543664,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2024
Post-monsoon,233.2467676967124,211.0,134.76175806903746,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2024
Pre-monsoon,177.28420692798542,165.0,74.03824549897426,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2024
Winter,242.10781816990897,223.25,117.12097157104132,station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,2024
Monsoon,35.42570488396259,32.75,18.641445568410138,station_1563_pusa_delhi_dpcc_1hr,2021
Post-monsoon,143.0287575935724,124.5,99.72128107318414,station_1563_pusa_delhi_dpcc_1hr,2021
Pre-monsoon,67.07718918004153,56.25,48.48159319603213,station_1563_pusa_delhi_dpcc_1hr,2021
Winter,179.18410137060172,165.5,91.3547274976772,station_1563_pusa_delhi_dpcc_1hr,2021
Monsoon,130.22890421340503,107.875,95.1719264314492,station_1563_pusa_delhi_dpcc_1hr,2022
Post-monsoon,270.1511473101617,259.25,123.57959349549327,station_1563_pusa_delhi_dpcc_1hr,2022
Pre-monsoon,251.5807866889942,236.25,95.79598378177039,station_1563_pusa_delhi_dpcc_1hr,2022
Winter,271.6999338809858,263.0,111.62684712551813,station_1563_pusa_delhi_dpcc_1hr,2022
Monsoon,35.665062730592396,33.25,19.325797282020844,station_1563_pusa_delhi_dpcc_1hr,2023
Post-monsoon,160.08674860580152,135.75,111.19945326327992,station_1563_pusa_delhi_dpcc_1hr,2023
Pre-monsoon,62.576445966514456,52.75,38.77003200060392,station_1563_pusa_delhi_dpcc_1hr,2023
Winter,166.7288503352786,152.75,84.7384192203243,station_1563_pusa_delhi_dpcc_1hr,2023
Monsoon,119.92075013920928,95.0,96.7212764668359,station_1563_pusa_delhi_dpcc_1hr,2024
Post-monsoon,277.9702580195258,249.0,134.498300076924,station_1563_pusa_delhi_dpcc_1hr,2024
Pre-monsoon,222.36298806179778,204.25,95.59684117771519,station_1563_pusa_delhi_dpcc_1hr,2024
Winter,306.6830860278765,287.625,133.29992027955765,station_1563_pusa_delhi_dpcc_1hr,2024
Monsoon,64.07932974638967,56.5,37.627114500782746,station_301_anand_vihar_delhi_dpcc_1hr,2021
Post-monsoon,170.75242153426268,138.5,123.7528917682161,station_301_anand_vihar_delhi_dpcc_1hr,2021
Pre-monsoon,91.38890194404694,73.5,71.03030786031982,station_301_anand_vihar_delhi_dpcc_1hr,2021
Winter,228.53227124183007,200.875,137.17790499092408,station_301_anand_vihar_delhi_dpcc_1hr,2021
Monsoon,53.784034605248074,47.5,35.5755563066621,station_301_anand_vihar_delhi_dpcc_1hr,2022
Post-monsoon,167.16428601140228,150.5,107.2553045184446,station_301_anand_vihar_delhi_dpcc_1hr,2022
Pre-monsoon,112.2595654539456,95.0,62.62043086423463,station_301_anand_vihar_delhi_dpcc_1hr,2022
Winter,202.74303538175045,177.5,130.07994424050543,station_301_anand_vihar_delhi_dpcc_1hr,2022
Monsoon,53.707903703920394,47.0,31.89114288720912,station_301_anand_vihar_delhi_dpcc_1hr,2023
Post-monsoon,210.4612029622974,183.0,139.74974996507328,station_301_anand_vihar_delhi_dpcc_1hr,2023
Pre-monsoon,90.66487394323671,67.25,65.64075709253349,station_301_anand_vihar_delhi_dpcc_1hr,2023
Winter,203.45812857363623,184.25,116.45691451781899,station_301_anand_vihar_delhi_dpcc_1hr,2023
Monsoon,186.30366863250515,149.0,143.76689394176975,station_301_anand_vihar_delhi_dpcc_1hr,2024
Post-monsoon,536.196029457594,500.0,208.47400153593298,station_301_anand_vihar_delhi_dpcc_1hr,2024
Pre-monsoon,288.6903880832159,256.0,143.90934904479872,station_301_anand_vihar_delhi_dpcc_1hr,2024
Winter,353.13119894424284,327.0,172.10256730549358,station_301_anand_vihar_delhi_dpcc_1hr,2024
